Date,Account,Category,Note,Income/Expense,Amount
3/2/2025 10:11,CUB - online payment,Food,Brownie,Expense,50
3/2/2025 10:11,CUB - online payment,Other,To lended people,Expense,300
3/1/2025 19:50,CUB - online payment,Food,Dinner,Expense,78
3/1/2025 18:56,CUB - online payment,Transportation,Metro,Expense,30
3/1/2025 18:22,CUB - online payment,Food,Snacks,Expense,67
3/1/2025 18:22,CUB - online payment,Other,From vicky,Income,100
3/1/2025 18:21,CUB - online payment,Other,From dad,Income,500
2/28/2025 11:56,CUB - online payment,Food,Pizza,Expense,339.15
2/28/2025 11:45,CUB - online payment,Other,From kumara,Income,200
2/27/2025 15:29,CUB - online payment,Food,Lunch,Expense,243
2/26/2025 20:16,CUB - online payment,Food,,Expense,25
2/26/2025 17:37,CUB - online payment,Other,From dad,Income,1500
2/26/2025 17:37,CUB - online payment,Other,To karthi,Expense,100
2/26/2025 16:01,CUB - online payment,Social Life,,Expense,1700
2/26/2025 14:07,CUB - online payment,Food,Snacks,Expense,40
2/26/2025 1:39,CUB - online payment,Food,Tea lights,Expense,84
2/25/2025 12:08,CUB - online payment,Food,,Expense,33
2/24/2025 22:32,CUB - online payment,Household,,Expense,303
2/24/2025 22:21,CUB - online payment,Food,Creamstone,Expense,289
2/24/2025 19:15,CUB - online payment,Food,Tamen,Expense,324.7
2/23/2025 17:35,CUB - online payment,Apparel,Hoodie for gobi,Expense,399
2/23/2025 16:06,CUB - online payment,Food,Eggs,Expense,83
2/23/2025 12:38,CUB - online payment,Apparel,Earphone,Expense,399
2/22/2025 6:33,CUB - online payment,Transportation,Auto to laxmi mills,Expense,120
2/21/2025 22:15,CUB - online payment,Transportation,It better be worth it,Expense,1300
2/21/2025 16:06,CUB - online payment,Transportation,Travel to koyambedu,Expense,138
2/21/2025 15:40,CUB - online payment,Household,Stuffs,Expense,336
2/21/2025 15:38,CUB - online payment,Transportation,Train cbe to chn,Expense,201.8
2/20/2025 15:24,CUB - online payment,Food,Lunch,Expense,200
2/19/2025 23:03,CUB - online payment,Food,Random stuff for drinks,Expense,111
2/19/2025 21:57,CUB - online payment,Food,Snacks,Expense,250
2/19/2025 21:35,CUB - online payment,Transportation,Bus ticket,Expense,1575
2/19/2025 20:45,CUB - online payment,Transportation,Took from sbi,Expense,200
2/19/2025 20:45,CUB - online payment,Food,Ramen with gobi,Expense,380
2/19/2025 8:26,CUB - online payment,Transportation,Metro,Expense,60
2/19/2025 6:27,CUB - online payment,Other,To auto anna,Expense,50
2/19/2025 6:18,CUB - online payment,Transportation,To egmore,Expense,270
2/18/2025 23:01,CUB - online payment,Food,Kfc dinner,Expense,348
2/17/2025 13:11,CUB - online payment,Food,Lunch,Expense,80
2/16/2025 16:57,CUB - online payment,Food,Side dishes,Expense,165
2/16/2025 16:57,CUB - online payment,Food,Kfc ,Expense,475
2/13/2025 21:54,CUB - online payment,Social Life,Games ,Expense,100
2/12/2025 21:20,CUB - online payment,Food,Dinner with aravind and buddies,Expense,491
2/12/2025 16:04,CUB - online payment,Household,Mirror,Expense,70
2/12/2025 14:48,CUB - online payment,Food,Lunch,Expense,80
2/12/2025 14:47,CUB - online payment,Other,From dad,Income,10000
2/11/2025 22:41,CUB - online payment,Food,Dinner with aravind,Expense,373
2/10/2025 20:15,CUB - online payment,Food,Kfc dinner,Expense,641
2/8/2025 10:37,CUB - online payment,Other,From dad,Income,1000
2/8/2025 9:18,CUB - online payment,Household,Bean bag,Expense,2099
2/7/2025 7:08,CUB - online payment,Transportation,Auto to Gobi's place,Expense,214
